hit_index,time_s,strength_peak,strength_integral,broadband_at_peak,prev_gap_s,next_gap_s,window_start_s,window_stop_s,peak_3.349202_Hz,peak_6.390996_Hz,peak_8.959195_Hz,peak_12.008174_Hz,peak_16.639363_Hz,peak_21.394148_Hz,peak_22.563609_Hz,peak_23.144134_Hz
1,45.900000000,0.177454256,0.254767401,0.348020442,,93.450000000,48.900000000,52.900000000,0.313162146,0.122369599,0.005672722,0.004573304,0.004803790,0.002722217,0.002063330,0.000892854
2,139.350000000,0.272282980,0.433032148,0.509520027,93.450000000,35.400000000,142.350000000,146.350000000,0.092758712,0.115351496,0.012874917,0.026064192,0.019715300,0.005144111,0.003207117,0.003795039
3,174.750000000,0.189588584,0.352004536,0.409496793,35.400000000,58.200000000,177.750000000,181.750000000,0.189422124,0.182344577,0.056855553,0.041407692,0.009591463,0.001323740,0.003357630,0.001571213
4,232.950000000,0.285705605,0.461891569,0.684273629,58.200000000,54.900000000,235.950000000,239.950000000,0.633315638,0.264617956,0.071611322,0.050126496,0.002524225,0.003750707,0.002945392,0.003959959
5,287.850000000,0.381361999,0.569007101,0.852892605,54.900000000,60.300000000,290.850000000,294.850000000,0.699868366,0.152430120,0.106974742,0.017278987,0.004714479,0.001303197,0.001893882,0.004444078
10,420.750000000,0.198158841,0.109335577,0.692877952,38.550000000,27.150000000,423.750000000,427.750000000,0.569542609,0.175435223,0.022295509,0.026075610,0.002138745,0.004557021,0.002313949,0.004254448
11,447.900000000,0.209460201,0.420293672,0.753854518,27.150000000,31.650000000,450.900000000,454.900000000,0.940562908,0.083102929,0.047417999,0.030920446,0.002880404,0.006411462,0.003176735,0.004323747
