stage,relation,source_a,source_b,source_a_hz,source_b_hz,child_hz,matched_peak_hz,matched_peak_amp,matched_peak_prom,match_error_hz,max_bicoherence,best_phase_lock,surrogate_p,best_start_s,best_stop_s,passes
stage1,2x,f0.42,f0.42,0.417480,0.417480,0.834961,0.856934,0.218358,0.121428,0.021973,0.831918,0.904543,0.016393,74.990,174.990,1
stage1,sum,f0.42,f16.63,0.417480,16.633301,17.050781,17.014160,0.114961,0.051271,0.036621,0.831828,0.288003,0.081967,74.990,174.990,1
stage1,sum,f0.42,f8.96,0.417480,8.964844,9.382324,9.418945,0.257431,0.181786,0.036621,0.680900,0.650604,0.147541,99.990,199.990,1
stage1,diff,f16.63,f0.42,0.417480,16.633301,16.215820,16.164551,0.141488,0.045448,0.051270,0.679195,0.324676,0.327869,149.990,249.990,0
stage1,diff,f16.63,f8.96,8.964844,16.633301,7.668457,7.631836,0.133625,0.075536,0.036621,0.646493,0.230985,0.262295,199.990,299.990,0
stage1,diff,f8.96,f0.42,0.417480,8.964844,8.547363,8.547363,0.138174,0.057287,0.000000,0.505860,0.345375,0.475410,74.990,174.990,0
stage1,sum,f8.96,f16.63,8.964844,16.633301,25.598145,25.561523,0.110388,0.031372,0.036621,0.462279,0.211697,0.655738,199.990,299.990,0
stage1,diff,f23+,f0.42,0.417480,23.151855,22.734375,22.705078,0.125002,0.035109,0.029297,0.423804,0.257324,0.721311,99.990,199.990,0
stage1,diff,f12,f8.96,8.964844,12.004395,3.039551,3.054199,0.434456,0.306553,0.014648,0.396768,0.292538,0.836066,74.990,174.990,0
stage1,diff,f23+,f8.96,8.964844,23.151855,14.187012,14.238281,0.117396,0.052273,0.051270,0.384985,0.626063,0.704918,349.990,449.990,0
stage1,2x,f8.96,f8.96,8.964844,8.964844,17.929688,17.966309,0.104662,0.033735,0.036621,0.383952,0.219935,0.754098,349.990,449.990,0
stage1,diff,f23+,f16.63,16.633301,23.151855,6.518555,6.569824,0.231724,0.048471,0.051270,0.370956,0.255333,0.803279,74.990,174.990,0
stage1,sum,f0.42,f12,0.417480,12.004395,12.421875,12.524414,0.152854,0.088164,0.102539,0.330386,0.687412,0.885246,249.990,349.990,0
stage1,diff,f16.63,f12,12.004395,16.633301,4.628906,4.511719,0.213632,0.144569,0.117187,0.267223,0.753130,0.934426,249.990,349.990,0
stage1,sum,f8.96,f12,8.964844,12.004395,20.969238,20.881348,0.151888,0.071679,0.087891,0.153299,0.018648,1.000000,249.990,349.990,0
stage1,diff,f23+,f12,12.004395,23.151855,11.147461,11.140137,0.211154,0.088901,0.007324,0.108168,0.331011,1.000000,199.990,299.990,0
stage1,diff,f12,f0.42,0.417480,12.004395,11.586914,11.528320,0.111055,0.039505,0.058594,0.056026,0.189913,1.000000,349.990,449.990,0
stage2,sum,f8.96,c9.42,8.964844,9.396973,18.361816,18.354492,0.198472,0.140012,0.007324,0.853134,0.331382,0.049180,349.990,449.990,1
stage2,sum,c0.86,c17.01,0.856934,17.036133,17.893066,17.966309,0.104662,0.033735,0.073242,0.629206,0.147795,0.295082,299.990,399.990,0
stage2,diff,f12,c0.86,0.856934,12.004395,11.147461,11.140137,0.211154,0.088901,0.007324,0.570999,0.848656,0.491803,74.990,174.990,0
stage2,2x,c9.42,c9.42,9.396973,9.396973,18.793945,18.757324,0.134566,0.071542,0.036621,0.546426,0.469724,0.590164,399.990,499.990,0
