generator_count,explained_peak_count,observed_peak_count,explained_fraction,explained_amplitude_fraction
1.0,4.0,63.0,0.06349206349206349,0.14498134198655402
2.0,11.0,63.0,0.1746031746031746,0.2749292684479414
3.0,15.0,63.0,0.23809523809523808,0.36047125075075903
4.0,26.0,63.0,0.4126984126984127,0.5242278801404832
5.0,31.0,63.0,0.49206349206349204,0.5940298564112875
6.0,33.0,63.0,0.5238095238095238,0.6377609142236398
7.0,38.0,63.0,0.6031746031746031,0.6848623224486984
8.0,45.0,63.0,0.7142857142857143,0.8010474052580976
