freq_hz,x_amplitude,x_baseline,x_baseline_smooth,x_residual,x_transfer,x_flattened,y_amplitude,y_baseline,y_baseline_smooth,y_residual,y_transfer,y_flattened,a_amplitude,a_baseline,a_baseline_smooth,a_residual,a_transfer,a_flattened
0.0,8.091353862385278,1.4927663944979916,1.5401064981966923,6.5985874678872865,0.04766381486403653,0.3856647924961388,1.2106369941690802,1.015822756134742,1.1791142386368834,0.19481423803433828,0.005363858792192671,0.006493685885327528,3.0804511996900055,1.3160509477473934,1.2649275672352551,1.764400251942612,0.023432388050934068,0.0721823278831016
0.007324218750007105,9.963539271381054,1.4908455614070446,1.5370850796317284,8.47269370997401,0.04775750670778386,0.47583379358624855,1.6221908903279418,1.0193895995452444,1.1801663155411395,0.6028012907826974,0.0053590771000882245,0.008693446052328201,3.742218326809986,1.3147411185518,1.2662485257096885,2.427477208258186,0.023407943235446725,0.08759763416861657
0.01464843750001421,7.2117413015962555,1.4889361428398153,1.5340798009134353,5.72280515875644,0.04785106417360942,0.34508949582615195,1.445741057697641,1.0229457982912677,1.18120426614774,0.4227952594063733,0.005354367959183242,0.00774102959661194,2.5700811662798175,1.313464146613398,1.2675625706999982,1.2566170196664195,0.023383676906310005,0.06009794761527965
0.021972656250021316,5.24520146831327,1.4870381387963034,1.5310905905121288,3.7581633295169663,0.047944485751423106,0.2514784870608891,1.379306400613834,1.0264913523728119,1.1822280515454218,0.35281504824102217,0.005349731185657812,0.007378918465941255,1.8726253379451627,1.3122200319321873,1.268869677828803,0.5604053060129754,0.02335958856113479,0.04374375742355499
0.02929687500002842,4.610465136637474,1.485151549276509,1.5281173773583296,3.1253135873609654,0.04803776993089805,0.22147646350821742,1.3528785147926143,1.0300262617898768,1.1832376333311638,0.32285225300273757,0.005345166598620083,0.007231361049260228,1.5369180903493056,1.3110087745081676,1.2701698228297456,0.22590931584113805,0.023335677701542667,0.03586502521006183
0.03662109375003553,3.8429959981527695,1.4832763742804322,1.5251600908399765,2.359719623872337,0.04813091520151036,0.1849669145068346,1.1867301913917165,1.0335505265424627,1.184232973612589,0.15317966484925383,0.005340674020094504,0.006337939102027519,1.3221208455127063,1.309830374341339,1.2714629815482417,0.012290471171367168,0.02331194383314878,0.030821206891227384
0.04394531250004263,2.8975116475836393,1.481412613808073,1.5222186607996584,1.4160990337755663,0.048223920052579104,0.13972937004449018,0.8993667128622286,0.8993667128622286,1.185214035010332,0.0,0.0053362532750102646,0.004799248566946283,1.1700804634570052,1.1700804634570052,1.2727491299422269,0.0,0.023288386465544812,0.02724928602877052
0.05126953125004974,2.3587117815291294,1.4795602678594313,1.5192930175318695,0.8791515136696981,0.04831678297330615,0.11396536524472324,0.8775068573807898,0.8775068573807898,1.1861807806603806,0.0,0.00533190419118992,0.0046787824906665285,1.2554027612771508,1.2554027612771508,1.274028244082902,0.0,0.02326500511228209,0.029206951659085968
0.05859375000005684,2.257058772896257,1.4777193364345071,1.5163830917802825,0.7793394364617499,0.0484095024528163,0.1092630922026719,1.0202459853747659,1.0202459853747659,1.1871331742163826,0.0,0.005327626599338221,0.005435489649550636,1.3956887147326995,1.3064923173840006,1.2753003001554726,0.08919639734869889,0.023241799290854893,0.03243831698032863
0.06591796875006395,2.237795099773871,1.4758898195333003,1.5134888147350436,0.7619052802405708,0.048502076980197366,0.10853771019514075,0.9935554282550277,0.9935554282550277,1.1880711798519243,0.0,0.005323420333031126,0.005289113168766263,1.4228811902185097,1.3054453462459368,1.276565274459888,0.1174358439725729,0.023218768522683828,0.033037548990964435
0.07324218750007105,1.9631285048821194,1.4740717171558113,1.5106101180300862,0.4890567877263081,0.048594505044540375,0.09539725803357516,0.798977644443605,0.798977644443605,1.188994762262775,0.0,0.0053192852287050185,0.004249989982154398,1.4091573361848873,1.3044312323650642,1.277823143411576,0.10472610381982306,0.023195912333099457,0.032686690033688605
0.08056640625007816,1.6116877383911028,1.4722650293020398,1.507746933740465,0.13942270908906296,0.04868678513497987,0.07846789462372927,0.799248706716107,0.799248706716107,1.189903886669102,0.0,0.0053152211256461,0.004248183610582776,1.3214642394568403,1.3034499757413829,1.2790738835421755,0.018014263715457446,0.02317323025132594,0.030622595089826676
0.08789062500008527,1.5222588957835264,1.4704697559719857,1.5048991943797112,0.05178913981154065,0.04877891574073423,0.07425413841300776,0.8489330715255319,0.8489330715255319,1.1907985188176538,0.0,0.005311227865979985,0.004508876985838384,1.2249816111154694,1.2249816111154694,1.2803174715002645,0.0,0.023150721810464934,0.028359208501869373
0.09521484375009237,1.7261368192052882,1.4686858971656491,1.5020668328972044,0.25745092203963904,0.04887089535114611,0.08435785185314185,0.7091666940029744,0.7091666940029744,1.1916786249839093,0.0,0.00530730529466148,0.003763764149879564,1.1593617846700022,1.1593617846700022,1.281553884052087,0.0,0.023128386547479576,0.02681416750422359
0.10253906250009948,1.8281599066262462,1.4669134528830303,1.499249782675567,0.36124645374321585,0.04896272245572296,0.08951168611282129,0.7121710055732177,0.7121710055732177,1.1925441719741985,0.0,0.0053034532594645484,0.003776965640803426,1.1044632308114462,1.1044632308114462,1.2827830980822748,0.0,0.023106224003178622,0.02551997481440365
0.10986328125010658,1.8080743497592213,1.4651524231241289,1.4964479775280761,0.34292192663509247,0.049054395544177544,0.08869399432637046,0.755350928738071,0.755350928738071,1.1933951271277872,0.0,0.0052996716109724685,0.004003111873354843,1.094560824223955,1.094560824223955,1.2840050905945677,0.0,0.023084233722200708,0.025267097889550425
