dataset,component,hit_index,time_s,strength_peak,strength_integral,broadband_at_peak
CDX_10IC,x,1,272.522250000,0.227817162,0.395483571,0.396503708
CDX_10IC,x,2,421.471050000,0.655472868,0.350461694,0.821358502
CDX_10IC,x,3,451.501050000,0.731668955,0.530937331,0.921775166
CDX_10IC,x,4,511.561050000,1.097024222,0.714388517,1.308163134
CDX_10IC,x,5,541.591050000,0.551337994,0.294003606,0.726029109
CDX_10IC,x,6,571.320750000,0.519003528,0.491507228,0.680728741
