peak_hz,best_view,best_view_score,best_view_corr,best_view_slope,best_view_freq_rms,best_view_prom,best_response_bond,top3_mean_score,median_view_score,n_strong_views,n_good_views,n_family_matches,child_evidence,outgoing_count,taxonomy_tag,best_relation,combined_score,IMG_0681_rot270__x__score,IMG_0681_rot270__x__corr,IMG_0681_rot270__x__slope,IMG_0681_rot270__x__family_match,IMG_0681_rot270__y__score,IMG_0681_rot270__y__corr,IMG_0681_rot270__y__slope,IMG_0681_rot270__y__family_match,IMG_0681_rot270__a__score,IMG_0681_rot270__a__corr,IMG_0681_rot270__a__slope,IMG_0681_rot270__a__family_match,IMG_0680_rot270__x__score,IMG_0680_rot270__x__corr,IMG_0680_rot270__x__slope,IMG_0680_rot270__x__family_match,IMG_0680_rot270__y__score,IMG_0680_rot270__y__corr,IMG_0680_rot270__y__slope,IMG_0680_rot270__y__family_match,IMG_0680_rot270__a__score,IMG_0680_rot270__a__corr,IMG_0680_rot270__a__slope,IMG_0680_rot270__a__family_match,CDX_10IC__x__score,CDX_10IC__x__corr,CDX_10IC__x__slope,CDX_10IC__x__family_match,CDX_10IC__y__score,CDX_10IC__y__corr,CDX_10IC__y__slope,CDX_10IC__y__family_match,CDX_10IC__a__score,CDX_10IC__a__corr,CDX_10IC__a__slope,CDX_10IC__a__family_match
2.50497845332,IMG_0680_rot270:y,2.0623758329058597,0.9959824994830159,1.1386796401968895,0.006139406135149229,257.16548658740567,1,1.8466083676373923,1.6049085972001214,8,9,6,-0.012378231097336469,3,unexplained-or-parent-like,0.610 + 1.902,5.246608367637393,1.0736589415912454,0.9396470275606733,0.8972341256709144,0,1.7404562314202074,0.9087140280054605,1.0252328342066486,0,1.6049085972001214,0.9417056068697808,1.0125702079330539,1,1.2242640334679145,0.9298887778344188,1.1077698355392225,1,2.0623758329058597,0.9959824994830159,1.1386796401968895,1,1.775790917412291,0.9709021125112696,1.0905867674760648,1,0.7926348524823761,0.598644484663554,0.9859786603600865,0,1.7016583525940263,0.9962732158809576,0.9709403760583507,1,1.5558925075000012,0.9955913763964411,0.9863295908696752,1
3.9739017122,IMG_0681_rot270:a,1.847498957458742,0.9997100405555019,1.0311512996749468,0.004899999999999943,37.96281426245144,1,1.6869833173160937,1.413134558766095,7,7,5,-0.05490909124745431,7,unexplained-or-parent-like,1.902 + 2.095,4.546983317316094,1.1706336886233326,0.9364941336896224,0.9573339205766815,0,1.5780941002789446,0.9758694450926648,0.9758787278922629,0,1.847498957458742,0.9997100405555019,1.0311512996749468,1,0.7531061421219496,0.9579149074717093,0.627696101037387,0,1.629399612326892,0.9990567490070229,0.9465194593661775,1,1.413134558766095,0.9588093421850616,1.226698795535684,1,1.198270772956006,0.9281463630663825,0.9887131875725123,0,1.3987400528904304,0.9949674921886464,1.0191239235981346,1,1.5840513821626465,0.9987276980826929,1.0612291359466293,1
2.18370254326,IMG_0680_rot270:y,1.9893169237443502,0.996324350020743,1.170596763984036,0.00579940825383717,119.08197416620678,1,1.7499619456579307,1.465484714415655,6,7,6,0.06323921405211036,0,child-like,5 x 0.414,4.507750967390188,1.239095895538323,0.9449360498882162,0.9963631548929185,0,1.069339996477867,0.8687397081383474,0.9372107871351391,0,1.5993834458913703,0.9361969455889225,1.0475945097153092,1,1.3424818598454529,0.981288434217681,0.8142798532911915,1,1.9893169237443502,0.996324350020743,1.170596763984036,1,1.6611854673380715,0.9908668115852136,0.7689748083943726,1,0.5838329194441071,0.6287136803906971,0.8858820497057446,0,1.465484714415655,0.9876059159874283,1.0576599396751145,1,1.522719232484833,0.9906821625575611,1.0738076186434282,1
2.0954738819,IMG_0680_rot270:y,1.9211226699728774,0.9962653582309482,1.1853251513673415,0.0071839729576064415,89.40354052704187,1,1.688875813829653,1.4427076165441535,6,7,6,0.020475626368210875,2,unexplained-or-parent-like,5 x 0.414,4.502257499550979,1.2158585644079767,0.935382570274322,1.0190369235884238,0,0.8123684773033385,0.7626451684252067,0.8719066134959216,0,1.5328170861584174,0.9489427027687419,1.06630459095089,1,1.3361476806977817,0.98622248355849,0.8321994352914632,1,1.9211226699728774,0.9962653582309482,1.1853251513673415,1,1.612687685357664,0.990760366850863,0.7329257869722158,1,0.5939887038331859,0.6340805071591247,0.8913080154075423,0,1.4427076165441535,0.9876833770800256,1.055810481006935,1,1.5061005668193592,0.9908018536361378,1.0746955766013842,1
4.18539029792,IMG_0681_rot270:a,1.8759662216032336,0.9996138913737719,1.030131175977729,0.006453681120104985,47.65554093099114,1,1.7585805735757123,1.5116075967709957,6,7,5,0.08792103949017724,11,child-like,0.414 + 3.776,4.304283222238483,1.436900733628516,0.8759568833667564,0.9794172591338801,0,1.6041797816745413,0.9752651978070697,0.9709215699209517,0,1.8759662216032336,0.9996138913737719,1.030131175977729,1,0.8462267060421436,0.854222247628533,1.3216432017108917,0,1.824277104945349,0.9990502758358619,0.9854384856354133,1,1.5116075967709957,0.9589227785555731,1.2199072253024752,1,1.2122567409009057,0.9058831231419755,1.0422713447352634,0,1.3727216422950321,0.9947435949572169,1.1028832716774644,1,1.5754983941785548,0.9974956734520699,0.9727759263065964,1
3.77553375046,IMG_0681_rot270:a,1.802068891442327,0.9996872429142613,1.0127539853068215,0.004482186966202979,38.56430912059744,1,1.6081889009382708,1.3746254842597587,5,8,5,0.007741546452482664,6,unexplained-or-parent-like,2 x 1.902,4.138124890550043,1.001335737680445,0.8618614551326639,0.990015509540575,0,1.4750627243816243,0.9747593851392929,1.0320742529829918,0,1.802068891442327,0.9996872429142613,1.0127539853068215,1,0.881827041286374,0.9235249544213213,0.9033717365925377,0,1.5079113708892702,0.999135139218847,0.9559685182644087,1,1.3746254842597587,0.963338670068467,1.2420981841135845,1,0.9374621574755462,0.9524131924970812,0.9559429179563531,0,1.2177940210654454,0.9665600351185748,1.0784809060264722,1,1.5145864404832148,0.993652949520404,1.0471615300466899,1
8.95047794335,CDX_10IC:x,1.4453780910039442,0.9965861980316646,0.9855685265210808,0.03542405828424303,4.588175921568877,7,1.3807260820451113,1.1671091497307875,4,7,8,0.09588923731356139,9,child-like,0.414 + 8.557,4.056070073537481,1.4318036135940257,0.942270587656339,1.193114855663666,1,1.2649965415373636,0.8641771798043336,0.9771291958425249,1,1.1671091497307875,0.8865270144160272,1.2792158120780728,1,1.1869741369136178,0.9987497477293276,1.050884369145515,1,1.0038827565086896,0.9308060880769863,0.9569964505383197,1,0.9827370338628117,0.9813124387649914,1.382810264290869,1,1.4453780910039442,0.9965861980316646,0.9855685265210808,1,0.8618294260938434,0.8391509630983182,0.9680944375574702,0,0.9693840154354827,0.9552503725869064,1.0608772426091968,1
5.45074104264,IMG_0681_rot270:a,1.7469760988671028,0.9610463921423273,0.9839139763458129,0.014430869689661719,26.85235535764817,0,1.6111703198216583,1.128429258850205,6,9,3,0.02172552652450921,0,unexplained-or-parent-like,1.245 + 4.185,4.042927135339797,1.128429258850205,0.7455128634662538,0.9359809846845997,0,1.0834893584257952,0.9563253952720104,0.944389791454373,0,1.7469760988671028,0.9610463921423273,0.9839139763458129,1,1.0087855741693692,0.9802835857101231,0.8580208947940869,0,1.1545394764827386,0.9587931860540383,0.9876954542630824,0,1.432794605290403,0.9884264947802399,1.1610019147544195,1,1.0503626787242148,0.7997937560459897,1.0513680734482411,0,1.1115661487344306,0.8979362082030642,1.0404698354003896,0,1.653740255307469,0.9942946801991766,0.9990893926038146,1
2.94383730525,IMG_0681_rot270:y,1.676499805341619,0.9904642677385761,1.0181107063064159,0.032709338520463566,16.818647225658243,1,1.676499805341619,1.3890839509530846,8,8,1,0.08441600807633942,3,child-like,1.483 + 1.483,3.9867589948423774,1.3890839509530846,0.9746088293315182,0.9360648474032218,0,1.676499805341619,0.9904642677385761,1.0181107063064159,1,1.6310642902588246,0.9495418335957214,1.0357947446109435,0,1.2264441805973045,0.9759145220686445,1.1612504611817556,0,1.2983633756706867,0.9656229214408164,0.9405090620258426,0,1.036291034890089,0.9152163036919411,1.678459711948271,0,1.0276925153005538,0.9143690796998105,1.1012660233955947,0,1.4131362143890869,0.9853061735876215,1.006091403193513,0,1.4783792114020557,0.9935198308457788,1.037852892541227,0
3.32856015604,IMG_0681_rot270:x,1.8024375931279084,0.9949224315572702,1.0203883564367295,0.017708754896942923,17.05793750446534,0,1.6897185335886198,1.3966848102411404,5,7,4,-0.0007786191927386527,5,unexplained-or-parent-like,4 x 0.858,3.96971853358862,1.8024375931279084,0.9949224315572702,1.0203883564367295,1,1.6512566948316894,0.9913862502784985,1.0197243209020885,1,1.4336576595859616,0.920430325400066,1.227003011172107,0,1.6154613128062618,0.9784379623215816,1.0151761173795029,1,1.3966848102411404,0.869444061847027,1.0772264084869165,0,0.6803793458103773,0.8050641701996623,1.535476581561012,0,1.2792956204311727,0.9726604849465862,1.1018954496365658,1,1.2510965169100836,0.925722394916281,1.0485445705688827,0,1.1467939190376597,0.8907814050245119,1.0255955203782892,0
