hit_index,time_s,strength_peak,strength_integral,broadband_at_peak,prev_gap_s,next_gap_s,window_start_s,window_stop_s,peak_0.003300_Hz,peak_0.414100_Hz,peak_0.952700_Hz,peak_1.476500_Hz,peak_2.164000_Hz,peak_3.357200_Hz,peak_6.455900_Hz
1,272.522250000,0.227817162,0.395483571,0.396503708,,148.948800000,275.522250000,295.522250000,0.000102339,0.000997097,0.000872969,0.000116557,0.000470573,0.000651219,0.000152849
2,421.471050000,0.655472868,0.350461694,0.821358502,148.948800000,30.030000000,424.471050000,444.471050000,0.000072544,0.000175532,0.001006513,0.000341363,0.000487579,0.003606938,0.000083101
3,451.501050000,0.731668955,0.530937331,0.921775166,30.030000000,60.060000000,454.501050000,474.501050000,0.000240595,0.001069645,0.000871651,0.000196469,0.000231454,0.000307388,0.000094274
4,511.561050000,1.097024222,0.714388517,1.308163134,60.060000000,30.030000000,514.561050000,534.561050000,0.000074808,0.000257971,0.000695863,0.000101527,0.000274828,0.001353148,0.000212599
5,541.591050000,0.551337994,0.294003606,0.726029109,30.030000000,29.729700000,544.591050000,564.591050000,0.000053079,0.000297902,0.000877532,0.000179127,0.000376420,0.002963315,0.000173983
6,571.320750000,0.519003528,0.491507228,0.680728741,29.729700000,,574.320750000,594.320750000,0.000126141,0.000691865,0.000712440,0.000227028,0.000369980,0.001111234,0.000301513
