hit_index,time_s,strength_peak,strength_integral,broadband_at_peak,prev_gap_s,next_gap_s,window_start_s,window_stop_s,peak_0.414100_Hz,peak_3.357200_Hz,peak_11.319000_Hz,peak_11.988500_Hz,peak_15.943200_Hz,peak_16.776400_Hz,peak_17.904200_Hz,peak_18.421400_Hz
1,272.522250000,0.227817162,0.395483571,0.396503708,,148.948800000,275.522250000,295.522250000,0.000997097,0.000651219,0.000129255,0.000050256,0.000087001,0.000280177,0.000109370,0.000096078
2,421.471050000,0.655472868,0.350461694,0.821358502,148.948800000,30.030000000,424.471050000,444.471050000,0.000175532,0.003606938,0.000115989,0.000117900,0.000049419,0.000194094,0.000130991,0.000059868
3,451.501050000,0.731668955,0.530937331,0.921775166,30.030000000,60.060000000,454.501050000,474.501050000,0.001069645,0.000307388,0.000324885,0.000121634,0.000119609,0.000183020,0.000234063,0.000121070
4,511.561050000,1.097024222,0.714388517,1.308163134,60.060000000,30.030000000,514.561050000,534.561050000,0.000257971,0.001353148,0.000224189,0.000039305,0.000089325,0.000215020,0.000105977,0.000088883
5,541.591050000,0.551337994,0.294003606,0.726029109,30.030000000,29.729700000,544.591050000,564.591050000,0.000297902,0.002963315,0.000255987,0.000057025,0.000129634,0.000231715,0.000091444,0.000169408
6,571.320750000,0.519003528,0.491507228,0.680728741,29.729700000,,574.320750000,594.320750000,0.000691865,0.001111234,0.000228125,0.000192192,0.000286852,0.000317311,0.000205801,0.000118226
