dataset,source_component,hit_index,time_s
11topo,x,1,6.006000000
11topo,x,2,48.005300169
11topo,x,3,49.549500000
11topo,x,4,87.687600000
11topo,x,5,126.276150000
11topo,x,6,166.556506871
11topo,x,7,166.666500000
11topo,x,8,209.008800000
11topo,x,9,258.421793331
11topo,x,10,261.110850000
11topo,x,11,328.671474020
11topo,x,12,368.618250000
11topo,x,13,407.657250000
11topo,x,14,447.447000000
11topo,x,15,488.437950000
11topo,x,16,535.434900000
11topo,x,17,568.167600000
