dataset,source_component,hit_index,time_s
FRONT11trivXY,x,1,0.935858333
FRONT11trivXY,x,2,35.920808333
FRONT11trivXY,x,3,53.788658333
FRONT11trivXY,x,4,94.479308333
FRONT11trivXY,x,5,134.869658333
FRONT11trivXY,x,6,165.650408333
