dataset,source_component,hit_index,time_s
11triv,x,1,10.060050000
11triv,x,2,52.102050000
11triv,x,3,91.891800000
11triv,x,4,131.531400000
11triv,x,5,171.020850000
11triv,x,6,212.161950000
11triv,x,7,251.951700000
11triv,x,8,290.990700000
11triv,x,9,331.080750000
11triv,x,10,372.522150000
11triv,x,11,410.209800000
11triv,x,12,450.600150000
11triv,x,13,492.041550000
11triv,x,14,532.608163275
11triv,x,15,533.032500000
11triv,x,16,570.720150000
