family_label,repr_hz,repr_amp,best_incoming_edge,best_outgoing_edge,incoming_reproducible_count,outgoing_reproducible_count,contrast_db_0681,contrast_db_0680,class
F01,3.371803977273755,1.7955202778204191,nan,0.058272144101345194,0,0,21.579073592300748,24.402400144951418,fundamental-leaning
F02,3.965465198864866,0.602146666999927,nan,0.0812671509700445,0,1,16.784100864690522,7.692115227133121,fundamental-leaning
F15,8.96164772727553,0.32686204024936544,0.024839965862026643,0.3235251254199565,0,3,20.64983715641917,14.007831229318953,fundamental-leaning
F07,6.35555752841107,0.22609236997822954,nan,0.0492812113082653,0,1,18.78780483280356,19.33721838597787,fundamental-leaning
F14,8.820223721593663,0.1543070136691137,0.0812671509700445,0.32400108476513756,0,3,20.34088375143422,13.22911043233301,fundamental-leaning
F06,5.415660511365317,0.12009695345137623,nan,0.2001089898914594,0,0,10.82859983429896,9.669330691017416,fundamental-leaning
F17,11.311257102276267,0.06329859979121778,0.04082001813901884,0.15732084702756197,0,2,14.988382797055,2.7789501906806695,fundamental-leaning
F18,12.05273437500379,0.05795265966554599,0.041824094984086624,0.12991112817104677,1,1,13.668234693262983,14.066923458990155,fundamental-leaning
F22,13.651544744322445,0.016851674341484213,0.08455830184290086,0.03781996118177386,0,0,-0.9656139663593326,-0.33150258338759486,mixed-coupled
F27,16.59774502841427,0.012286209833829302,0.20089320977165195,0.028320707950142826,2,0,6.662806053601666,1.3903468954822187,mixed-coupled
F28,18.36434659091484,0.0109797196873844,0.14224578244415648,0.07966854114935057,1,2,4.768660022040257,7.242241449231867,mixed-coupled
F23,14.242808948868063,0.009130935083498161,0.08346535854927467,0.1231289133207187,3,3,1.091091345972325,1.4899832654533554,mixed-coupled
F20,13.04856178977678,0.04924068860410876,0.32400108476513756,0.032714607782640806,3,0,6.433649909118344,2.610396377208688,nonfundamental-leaning
F21,13.208895596595026,0.04583265059123541,0.2001089898914594,0.03542374995500186,0,0,5.474003418896338,3.843400102925044,nonfundamental-leaning
F19,12.60697798295853,0.03681836618996346,0.369197227304957,0.023792297457323988,1,0,-3.2091627108955327,1.6704198035821822,nonfundamental-leaning
F25,15.939897017050477,0.0121089415926691,0.3685781212228537,-0.029766339052411717,2,0,6.2738167134836065,2.9181894948010996,nonfundamental-leaning
F26,16.049893465914103,0.011993357807503005,0.3088996869216925,-0.02730032043262863,3,0,6.588532996421556,3.6564723405265185,nonfundamental-leaning
F03,4.190784801137673,0.20718764924406707,nan,0.32400108476513756,0,2,8.27905233328082,1.7369319192238237,unclear
F04,4.7921697443197235,0.0797262285285576,nan,0.369197227304957,0,4,1.5482246329938278,-1.8703669235141611,unclear
F16,9.40669389204844,0.07883255131059802,-0.06455433610780908,0.12991112817104677,0,3,2.104188782055508,-2.404311739849155,unclear
F05,4.902965198865155,0.0781743671871374,nan,0.2655071594264614,0,3,3.406981745867533,-1.1895100651051278,unclear
F08,6.888760653411199,0.04663567998951269,nan,0.0013228164895802488,0,0,3.55825475162266,0.7408311605020851,unclear
F10,7.712269176138788,0.04288764666822365,nan,0.20089320977165195,0,3,5.835897159241298,1.4311256233756793,unclear
F11,7.890713778411583,0.041594555650669995,-0.05507377204054914,0.369197227304957,0,3,4.838918103120704,3.3055857257020462,unclear
F09,6.993696732956727,0.04001161824899287,nan,0.14224578244415648,0,1,5.0535567302035105,1.6534961440921823,unclear
F12,8.026544744320685,0.0396103718989716,-0.0411553284954773,0.3685781212228537,0,7,3.367135677272537,3.2532004601875073,unclear
F13,8.402077414775336,0.02965077260288944,-0.04833777985354622,0.22255734380442185,0,2,-1.890490281337432,-0.4581120188403194,unclear
F30,21.401633522733952,0.020516608973005925,0.12991112817104677,nan,1,0,11.465540553209575,9.373213351849074,unclear
F33,23.157848011370874,0.013581697296790683,0.1231289133207187,nan,4,0,10.197420845407116,6.970522317290846,unclear
F29,20.75710227273378,0.010554470813935674,0.028320707950142826,-0.08567859844026396,0,0,3.961071887159025,0.01720954775637873,unclear
F24,14.707031250004631,0.008170907238442923,0.0013228164895802488,-0.0115027839843727,0,0,1.758354007180494,2.0884451056164695,unclear
F31,21.895951704552324,0.006224816536205332,0.01684633896687334,-0.06291240680218788,0,0,1.1042177299838403,1.4551717521783805,unclear
F32,22.597745028416167,0.006124185622666188,0.10012762362825599,-0.019229273412727347,1,0,1.3276454670686675,1.8646983362332985,unclear
F34,28.853959517054484,0.0038774188684715786,-0.019229273412727347,nan,0,0,2.3789762131642425,2.4673204845890444,unclear
