hit_index,time_s,strength_peak,strength_integral,broadband_at_peak,prev_gap_s,next_gap_s,window_start_s,window_stop_s,peak_0.414100_Hz,peak_3.357200_Hz,peak_11.319000_Hz,peak_11.988500_Hz,peak_15.943200_Hz,peak_16.776400_Hz,peak_17.904200_Hz,peak_18.421400_Hz
1,272.522250000,0.227817162,0.395483571,0.396503708,,148.948800000,275.522250000,295.522250000,0.021821044,0.024339359,0.000366356,0.000155203,0.000161828,0.000558493,0.000213554,0.000161324
2,421.471050000,0.655472868,0.350461694,0.821358502,148.948800000,30.030000000,424.471050000,444.471050000,0.005331332,0.124345775,0.000309684,0.000233319,0.000115108,0.000368368,0.000158629,0.000057787
3,451.501050000,0.731668955,0.530937331,0.921775166,30.030000000,60.060000000,454.501050000,474.501050000,0.012484412,0.028987644,0.000888009,0.000290675,0.000367625,0.000444749,0.000314017,0.000133629
4,511.561050000,1.097024222,0.714388517,1.308163134,60.060000000,30.030000000,514.561050000,534.561050000,0.013286176,0.081342556,0.000626265,0.000109157,0.000194024,0.000433586,0.000163941,0.000126013
5,541.591050000,0.551337994,0.294003606,0.726029109,30.030000000,29.729700000,544.591050000,564.591050000,0.006293989,0.073331744,0.000721041,0.000177278,0.000252877,0.000367655,0.000106528,0.000198405
6,571.320750000,0.519003528,0.491507228,0.680728741,29.729700000,,574.320750000,594.320750000,0.019655692,0.045853545,0.000614266,0.000402572,0.000338499,0.000374612,0.000326169,0.000221860
