stage,relation,source_a,source_b,source_a_hz,source_b_hz,child_hz,matched_peak_hz,matched_peak_amp,matched_peak_prom,match_error_hz,max_bicoherence,best_phase_lock,surrogate_p,best_start_s,best_stop_s,passes
stage2,diff,c11.52,f0.41,0.409747,11.516804,11.107057,11.209494,0.273046,0.039354,0.102437,0.927972,0.088482,0.181818,499.996,599.996,0
stage2,diff,c17.91,c6.16,6.153514,17.911776,11.758261,11.743627,0.238409,0.039055,0.014634,0.926945,0.267762,0.090909,499.996,599.996,1
stage2,diff,c20.92,c9.43,9.431486,20.919022,11.487536,11.516804,0.228022,0.064356,0.029268,0.923170,0.148371,0.090909,499.996,599.996,1
stage2,sum,c4.67,c11.52,4.668183,11.516804,16.184987,16.243522,0.291247,0.086881,0.058535,0.920650,0.331683,0.181818,499.996,599.996,0
stage2,sum,f6.45,c11.52,6.490092,11.516804,18.006895,18.080064,0.236315,0.041482,0.073169,0.911338,0.512503,0.272727,499.996,599.996,0
stage2,diff,c17.08,c0.86,0.863394,17.077649,16.214254,16.243522,0.291247,0.086881,0.029268,0.907958,0.061517,0.090909,349.996,449.996,1
stage2,diff,c17.08,c5.52,5.516944,17.077649,11.560705,11.516804,0.228022,0.064356,0.043901,0.900426,0.192718,0.090909,349.996,449.996,1
stage2,diff,c20.92,c4.67,4.668183,20.919022,16.250839,16.243522,0.291247,0.086881,0.007317,0.892876,0.334696,0.090909,499.996,599.996,1
stage2,sum,c6.16,c12.38,6.153514,12.380198,18.533712,18.423959,0.296407,0.140344,0.109754,0.889232,0.054628,0.090909,499.996,599.996,1
stage2,sum,f0.41,c17.91,0.409747,17.911776,18.321522,18.343473,0.258289,0.047842,0.021951,0.871016,0.165020,0.090909,399.996,499.996,1
stage2,diff,c18.42,f0.41,0.409747,18.423959,18.014212,18.080064,0.236315,0.041482,0.065852,0.860210,0.060852,0.090909,399.996,499.996,1
stage2,sum,c6.16,c9.43,6.153514,9.431486,15.585001,15.636219,0.237127,0.046390,0.051218,0.857840,0.446447,0.090909,499.996,599.996,1
stage2,2x,c9.43,c9.43,9.431486,9.431486,18.862973,18.767853,0.228398,0.071851,0.095120,0.852741,0.139589,0.090909,499.996,599.996,1
stage2,sum,c6.16,f12.0,6.153514,11.985085,18.138600,18.080064,0.236315,0.041482,0.058535,0.819612,0.366798,0.090909,499.996,599.996,1
stage2,diff,c23.08,f12.0,11.985085,23.077508,11.092423,11.209494,0.273046,0.039354,0.117070,0.807456,0.337790,0.090909,499.996,599.996,1
stage2,sum,f3.35,c12.29,3.351141,12.263127,15.614269,15.636219,0.237127,0.046390,0.021951,0.792359,0.491661,0.363636,499.996,599.996,0
stage2,diff,c17.91,f6.45,6.490092,17.911776,11.421684,11.414367,0.243506,0.038571,0.007317,0.770064,0.067536,0.181818,349.996,449.996,0
stage2,sum,c6.16,c12.29,6.153514,12.263127,18.416642,18.423959,0.296407,0.140344,0.007317,0.761801,0.231854,0.090909,499.996,599.996,1
stage2,diff,c12.29,c0.86,0.863394,12.263127,11.399733,11.414367,0.243506,0.038571,0.014634,0.745884,0.241479,0.090909,499.996,599.996,1
stage2,sum,c0.86,c17.91,0.863394,17.911776,18.775170,18.767853,0.228398,0.071851,0.007317,0.721281,0.192461,0.090909,449.996,549.996,1
stage2,sum,c5.52,c6.16,5.516944,6.153514,11.670458,11.743627,0.238409,0.039055,0.073169,0.682990,0.495707,0.090909,499.996,599.996,1
stage2,sum,f6.45,c12.29,6.490092,12.263127,18.753219,18.767853,0.228398,0.071851,0.014634,0.682407,0.533270,0.181818,499.996,599.996,0
stage2,diff,f16.6,c0.86,0.863394,16.616684,15.753290,15.636219,0.237127,0.046390,0.117070,0.679035,0.505215,0.090909,499.996,599.996,1
stage2,diff,c18.42,c2.92,2.919444,18.423959,15.504515,15.636219,0.237127,0.046390,0.131704,0.658742,0.227933,0.181818,499.996,599.996,0
stage2,sum,c8.59,c9.43,8.590043,9.431486,18.021529,18.080064,0.236315,0.041482,0.058535,0.656898,0.078089,0.090909,349.996,449.996,1
stage2,sum,f8.96,c9.43,8.955888,9.431486,18.387374,18.423959,0.296407,0.140344,0.036585,0.655323,0.282770,0.272727,499.996,599.996,0
stage2,diff,f16.6,c5.52,5.516944,16.616684,11.099740,11.209494,0.273046,0.039354,0.109754,0.625893,0.445766,0.181818,499.996,599.996,0
stage2,diff,f12.0,c0.86,0.863394,11.985085,11.121691,11.209494,0.273046,0.039354,0.087803,0.620164,0.092839,0.090909,349.996,449.996,1
stage2,diff,c12.38,c0.86,0.863394,12.380198,11.516804,11.516804,0.228022,0.064356,0.000000,0.617340,0.514567,0.090909,499.996,599.996,1
stage2,sum,f6.45,c9.43,6.490092,9.431486,15.921578,15.906945,0.421047,0.230067,0.014634,0.576919,0.034175,0.090909,349.996,449.996,1
stage2,sum,c4.67,f6.45,4.668183,6.490092,11.158275,11.209494,0.273046,0.039354,0.051218,0.518094,0.240123,0.090909,349.996,449.996,1
stage2,sum,f6.45,c12.38,6.490092,12.380198,18.870290,18.767853,0.228398,0.071851,0.102437,0.505726,0.229005,0.363636,499.996,599.996,0
stage2,sum,f3.35,c12.38,3.351141,12.380198,15.731339,15.636219,0.237127,0.046390,0.095120,0.413404,0.462124,0.454545,499.996,599.996,0
