site_id,3.35468024,6.39410034,8.96553806,11.3096284,12.0036936,16.6556246,21.4081353,22.560344,23.1551705
1,0,0,0,0,0,0,0,1.22464679915e-16,1.22464679915e-16
2,-0.0344494083237,-2.94987470017,-2.16177158226,-0.660653771926,-0.0822105363767,-0.747087352659,-3.13200537515,3.0646358135,-3.03488606463
3,-0.0494377123729,-3.09409184206,-2.17231177175,2.23952724489,-3.12552222212,-0.90811362531,3.01864211416,0.393417155135,0.0264180000948
4,-0.0234100967355,-3.12406124533,-2.22259340044,2.34418300755,3.08794672123,-0.826429443839,-0.244342640105,-0.374000573409,-3.04784997202
5,-3.12451601745,-3.12649835604,0.981444143525,-2.61524032291,3.09631669104,2.01050870467,-3.06751232559,2.88514572858,0.214073830235
6,-3.1382681092,3.13258213712,0.972662881418,-0.841580373463,-0.0629652910912,2.04267729788,3.10655514004,0.114113682598,-1.79963104728
7,-3.13481335482,0.0691142349457,0.9517673894,-0.784564943279,-0.0826653122895,-1.06535569042,-0.160497429969,2.88539172541,0.881473019742
8,3.13514893611,-0.00137731911757,-2.12884587938,2.20770257765,-2.91915514901,-1.14960826299,2.98323549518,0.491364719974,-2.11125640189
9,3.13198516732,-0.00346260421861,-2.17082189184,2.34502837797,3.07799150508,1.99493135758,0.0412854557135,2.52984797741,0.0470257398999
