raw_peak_hz,family_label,family_repr_hz,family_class,family_incoming,family_outgoing,family_prominence_db_0681,band_labels,band_status,band_notes
3.329,F01,3.371803977273755,fundamental-leaning,,0.058272144101345194,21.579073592300748,,,
3.639,F01,3.371803977273755,fundamental-leaning,,0.058272144101345194,21.579073592300748,,,
3.776,F02,3.965465198864866,fundamental-leaning,,0.0812671509700445,16.784100864690522,,,
3.974,F02,3.965465198864866,fundamental-leaning,,0.0812671509700445,16.784100864690522,,,
4.185,F02,3.965465198864866,fundamental-leaning,,0.0812671509700445,16.784100864690522,,,
4.359,F03,4.190784801137673,unclear,,0.32400108476513756,8.27905233328082,,,
4.766,F04,4.7921697443197235,unclear,,0.369197227304957,1.5482246329938278,,,
4.944,F05,4.902965198865155,unclear,,0.2655071594264614,3.406981745867533,,,
5.19,F06,5.415660511365317,fundamental-leaning,,0.2001089898914594,10.82859983429896,,,
5.451,F06,5.415660511365317,fundamental-leaning,,0.2001089898914594,10.82859983429896,,,
6.369,F07,6.35555752841107,fundamental-leaning,,0.0492812113082653,18.78780483280356,,,
6.897,F08,6.888760653411199,unclear,,0.0013228164895802488,3.55825475162266,,,
7.082,F09,6.993696732956727,unclear,,0.14224578244415648,5.0535567302035105,,,
7.628,F10,7.712269176138788,unclear,,0.20089320977165195,5.835897159241298,,,
7.956,F11,7.890713778411583,unclear,-0.05507377204054914,0.369197227304957,4.838918103120704,,,
8.106,F12,8.026544744320685,unclear,-0.0411553284954773,0.3685781212228537,3.367135677272537,,,
8.332,F13,8.402077414775336,unclear,-0.04833777985354622,0.22255734380442185,-1.890490281337432,,,
8.557,F14,8.820223721593663,fundamental-leaning,0.0812671509700445,0.32400108476513756,20.34088375143422,,,
8.742,F15,8.96164772727553,fundamental-leaning,0.024839965862026643,0.3235251254199565,20.64983715641917,,,
8.95,F15,8.96164772727553,fundamental-leaning,0.024839965862026643,0.3235251254199565,20.64983715641917,,,
9.403,F16,9.40669389204844,unclear,-0.06455433610780908,0.12991112817104677,2.104188782055508,,,
11.333,F17,11.311257102276267,fundamental-leaning,0.04082001813901884,0.15732084702756197,14.988382797055,,,
12.016,F18,12.05273437500379,fundamental-leaning,0.041824094984086624,0.12991112817104677,13.668234693262983,,,
12.537,F19,12.60697798295853,nonfundamental-leaning,0.369197227304957,0.023792297457323988,-3.2091627108955327,B12p6,nonfundamental-leaning,strong incoming family edge around 12.61
12.934,F20,13.04856178977678,nonfundamental-leaning,0.32400108476513756,0.032714607782640806,6.433649909118344,,,
13.108,F20,13.04856178977678,nonfundamental-leaning,0.32400108476513756,0.032714607782640806,6.433649909118344,B13p0,nonfundamental-leaning,strong incoming family edges around 13.05-13.21
13.257,F21,13.208895596595026,nonfundamental-leaning,0.2001089898914594,0.03542374995500186,5.474003418896338,B13p0,nonfundamental-leaning,strong incoming family edges around 13.05-13.21
13.746,F22,13.651544744322445,mixed-coupled,0.08455830184290086,0.03781996118177386,-0.9656139663593326,,,
14.248,F23,14.242808948868063,mixed-coupled,0.08346535854927467,0.1231289133207187,1.091091345972325,,,
14.701,F24,14.707031250004631,unclear,0.0013228164895802488,-0.0115027839843727,1.758354007180494,,,
15.823,F25,15.939897017050477,nonfundamental-leaning,0.3685781212228537,-0.029766339052411717,6.2738167134836065,,,
16.025,F26,16.049893465914103,nonfundamental-leaning,0.3088996869216925,-0.02730032043262863,6.588532996421556,B16p0,nonfundamental-leaning,child band from 8.106+8.106 and 7.956+8.106
16.601,F27,16.59774502841427,mixed-coupled,0.20089320977165195,0.028320707950142826,6.662806053601666,B16p6,mixed-coupled,broad coupled band containing 16.60; not a clean follower proof
18.361,F28,18.36434659091484,mixed-coupled,0.14224578244415648,0.07966854114935057,4.768660022040257,B18ish,mixed-coupled,18-ish child band linked to 8.95+8.95; exact peak shifts by dataset
20.788,F29,20.75710227273378,unclear,0.028320707950142826,-0.08567859844026396,3.961071887159025,,,
21.399,F30,21.401633522733952,unclear,0.12991112817104677,,11.465540553209575,,,
21.96,F31,21.895951704552324,unclear,0.01684633896687334,-0.06291240680218788,1.1042177299838403,,,
22.563,F32,22.597745028416167,unclear,0.10012762362825599,-0.019229273412727347,1.3276454670686675,,,
23.159,F33,23.157848011370874,unclear,0.1231289133207187,,10.197420845407116,B22p8,mixed-coupled,broad 22.8-23.2 band seen in 16.60+6.37 scan
28.864,F34,28.853959517054484,unclear,-0.019229273412727347,,2.3789762131642425,,,
