relation,parent_a_hz,parent_b_hz,child_target_hz,child_peak_hz,parent_a_amp,parent_b_amp,child_amp,child_prom,match_error_hz,b_sq,phase_lock,surrogate_p,alpha_abs,beta_abs,start_s,stop_s,score
sum,3.354492,6.423340,9.777832,9.726563,2.441997,0.590901,0.160329,0.083362,0.051270,0.285567,0.195861,1.000000,5.091210e-02,0.534385,149.990,249.990,0.000000
sum,8.964844,12.004395,20.969238,20.881348,1.175262,0.678383,0.151888,0.071679,0.087891,0.153299,0.018648,1.000000,2.484259e-01,0.391534,249.990,349.990,0.000000
sum,3.969727,6.342773,10.312500,10.209961,0.786742,0.778967,0.156777,0.097068,0.102539,0.149849,0.439811,1.000000,3.106555e-02,0.387104,299.990,399.990,0.000000
sum,3.969727,12.004395,15.974121,16.025391,0.786742,0.678383,0.179226,0.090950,0.051270,0.202689,0.419195,1.000000,2.173817e-01,0.450210,74.990,174.990,0.000000
sum,3.969727,6.269531,10.239258,10.209961,0.786742,0.662996,0.156777,0.097068,0.007324,0.264257,0.070729,1.000000,4.586201e-02,0.514059,399.990,499.990,0.000000
sum,6.342773,12.004395,18.347168,18.354492,0.778967,0.678383,0.198472,0.140012,0.007324,0.025374,0.247114,1.000000,2.281997e-02,0.159293,399.990,499.990,0.000000
2x,11.308594,11.308594,22.617188,22.543945,0.748865,0.748865,0.212243,0.142369,0.073242,0.206567,0.656938,1.000000,8.465907e-02,0.454497,299.990,399.990,0.000000
sum,12.004395,6.269531,18.273926,18.354492,0.678383,0.662996,0.198472,0.140012,0.102539,0.100732,0.353014,1.000000,2.947230e-02,0.317383,299.990,399.990,0.000000
sum,12.004395,6.423340,18.427734,18.354492,0.678383,0.590901,0.198472,0.140012,0.073242,0.101461,0.171714,1.000000,6.547550e-02,0.318529,299.990,399.990,0.000000
sum,1.479492,6.423340,7.902832,7.946777,0.638082,0.590901,0.152169,0.098152,0.043945,0.139574,0.426215,1.000000,8.811846e-02,0.373597,99.990,199.990,0.000000
2x,6.423340,6.423340,12.846680,12.927246,0.590901,0.590901,0.223262,0.108648,0.080566,0.071457,0.068735,1.000000,1.489431e-01,0.267314,49.990,149.990,0.000000
