generator_count,explained_peak_count,observed_peak_count,explained_fraction,explained_amplitude_fraction
1.0,1.0,21.0,0.047619047619047616,0.24875454908820088
2.0,6.0,21.0,0.2857142857142857,0.4961080966607212
3.0,11.0,21.0,0.5238095238095238,0.6685489076136406
4.0,18.0,21.0,0.8571428571428571,0.9049500285565455
5.0,18.0,21.0,0.8571428571428571,0.9049500285565455
6.0,19.0,21.0,0.9047619047619048,0.9509801445995342
7.0,20.0,21.0,0.9523809523809523,0.9831292881908592
8.0,20.0,21.0,0.9523809523809523,0.9831292881908592
